 accuracy	 gpsAltitude	 latitude	 longitude	 pressure
3	92020996	37.97085368	-87.57371161	1002771240
3	92883545	37.97085709	-87.57369991	1002784912
3	93850159	37.97086554	-87.57368685	1002753906
3	92345581	37.97088116	-87.57368386	1002840332
3	91935852	37.97089783	-87.57369035	1002810791
3	91590515	37.97091113	-87.5737015	1002775635
3	90872803	37.97092361	-87.57371479	1002774414
3	90016296	37.97093583	-87.57372813	1002797363
3	89449280	37.97094739	-87.57374124	1002786133
4	89363098	37.97095721	-87.57375091	1002717773
5	89219482	37.97095836	-87.5737603	1002755859
5	89182495	37.97095575	-87.57376745	1002808838
5	88814087	37.97094847	-87.57377508	1002799805
6	88913086	37.97094639	-87.5737763	1002827148
6	88907166	37.97094561	-87.57377766	1002802490
6	88965393	37.97094495	-87.57377848	1002805664
8	88813965	37.97094311	-87.57378202	1002765137
6	88928833	37.97094167	-87.57378379	1002789795
6	89070190	37.97094022	-87.57378623	1002810059
6	89043762	37.97094017	-87.57378743	1002790771
6	88816223	37.97093981	-87.57378897	1002795410
6	88555054	37.97094086	-87.57378954	1002767822
6	88707947	37.97094128	-87.57379047	1002793945
6	88648743	37.97094197	-87.57379116	1002726318
6	88706055	37.97094174	-87.57379203	1002706543
6	88677002	37.97094145	-87.57379279	1002707764
6	88676636	37.97094097	-87.57379384	1002702881
6	88681763	37.97094082	-87.57379408	1002763916
6	88705627	37.97094051	-87.57379444	1002773438
6	88669800	37.97094055	-87.57379458	1002711670
6	88668701	37.9709405	-87.57379479	1002704834
8	88674438	37.97094039	-87.573795	1002650879
6	88679260	37.97094018	-87.57379536	1002647949
6	88687744	37.97094005	-87.57379558	1002705566
6	88704773	37.97093979	-87.57379591	1002671631
6	88703369	37.97093957	-87.57379625	1002659424
6	88724182	37.97093925	-87.57379666	1002644043
6	88720764	37.97093898	-87.57379702	1002616211
6	88740540	37.97093868	-87.57379736	1002624512
6	88751404	37.97093846	-87.57379763	1002625000
6	87770691	37.97093916	-87.57380374	1002607178
8	88414246	37.97094151	-87.57381921	1002614014
8	88932983	37.97094442	-87.57383887	1002643799
8	91541016	37.97094069	-87.57386264	1002625244
9	92292175	37.97093586	-87.57388727	1002616699
9	91568848	37.97092275	-87.57393756	1002623047
9	93300232	37.97091534	-87.57396476	1002575439
9	92828186	37.97090607	-87.57398861	1002562256
9	93017822	37.97088966	-87.57401398	1002587646
9	93837341	37.97087678	-87.57403292	1002601563
9	93821167	37.97086839	-87.57404728	1002651611
9	93292664	37.97085771	-87.5740635	1002599854
10	92492981	37.97083775	-87.57409202	1002563477
10	89307617	37.97081432	-87.57412436	1002547363
10	87253174	37.97079709	-87.57415009	1002540283
10	86894348	37.97078119	-87.5741777	1002490234
10	86966858	37.9707609	-87.57420809	1002463379
9	85869263	37.97074341	-87.57423989	1002454346
10	85362732	37.97073258	-87.57426452	1002447998
